Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m
11251,2017-01-11 19:00:00,0.000000000,0.195586443,0.222890558
11252,2017-01-11 20:00:00,0.000000000,0.195599652,0.222784780
11253,2017-01-11 21:00:00,0.000000000,0.195605363,0.222738956
11254,2017-01-11 22:00:00,0.000000000,0.195609957,0.222702046
11255,2017-01-11 23:00:00,0.000000000,0.195613473,0.222673778
11256,2017-01-12 00:00:00,0.000000000,0.195616037,0.222653142
11257,2017-01-12 01:00:00,0.000000000,0.195618332,0.222634670
11258,2017-01-12 02:00:00,0.000000000,0.195619948,0.222621647
11259,2017-01-12 03:00:00,0.000000000,0.195620949,0.222613586
11260,2017-01-12 04:00:00,0.000000000,0.195621391,0.222610021
11261,2017-01-12 05:00:00,0.000000000,0.195619105,0.222628438
11262,2017-01-12 06:00:00,0.000000000,0.195568650,0.223032548
11263,2017-01-12 07:00:00,0.000000000,0.195419021,0.224204762
11264,2017-01-12 08:00:00,0.000000000,0.195341056,0.224800588
11265,2017-01-12 09:00:00,0.000000000,0.195299084,0.225117250
11266,2017-01-12 10:00:00,0.000000000,0.195223705,0.225678948
11267,2017-01-12 11:00:00,0.000000000,0.195178610,0.226010753
11268,2017-01-12 12:00:00,0.000000000,0.195178395,0.226012323
11269,2017-01-12 13:00:00,0.000000000,0.195178268,0.226012323
11270,2017-01-12 14:00:00,0.000000000,0.195178686,0.226012323
11271,2017-01-12 15:00:00,0.000000000,0.195179077,0.226007333
11272,2017-01-12 16:00:00,0.000000000,0.195180767,0.225994952
11273,2017-01-12 17:00:00,0.000000000,0.195183345,0.225976055
11274,2017-01-12 18:00:00,0.000000000,0.195187639,0.225944567
11275,2017-01-12 19:00:00,0.000000000,0.195194704,0.225892693
11276,2017-01-12 20:00:00,0.000000000,0.195204354,0.225821714
11277,2017-01-12 21:00:00,0.000000000,0.195207552,0.225798154
11278,2017-01-12 22:00:00,0.000000000,0.195210077,0.225779546
11279,2017-01-12 23:00:00,0.000000000,0.195212400,0.225762418
11280,2017-01-13 00:00:00,0.000000000,0.195214630,0.225745973
11281,2017-01-13 01:00:00,0.000000000,0.195216548,0.225731815
11282,2017-01-13 02:00:00,0.000000000,0.195188197,0.225940468
11283,2017-01-13 03:00:00,0.000000000,0.195176650,0.226025100
11284,2017-01-13 04:00:00,0.000000000,0.195177719,0.226017275
11285,2017-01-13 05:00:00,0.000000000,0.195178707,0.226010038
11286,2017-01-13 06:00:00,0.000000000,0.195179792,0.226002096
11287,2017-01-13 07:00:00,0.000000000,0.195180430,0.225997420
11288,2017-01-13 08:00:00,0.000000000,0.195181267,0.225991289
11289,2017-01-13 09:00:00,0.000000000,0.195181860,0.225986942
11290,2017-01-13 10:00:00,0.000000000,0.195182748,0.225980436
11291,2017-01-13 11:00:00,0.000000000,0.195185502,0.225960244
11292,2017-01-13 12:00:00,0.000000000,0.195188719,0.225936644
11293,2017-01-13 13:00:00,0.000000000,0.195192618,0.225908015
11294,2017-01-13 14:00:00,0.000000000,0.195197643,0.225871090
11295,2017-01-13 15:00:00,0.000000000,0.195204354,0.225821708
11296,2017-01-13 16:00:00,0.000000000,0.195213106,0.225757212
11297,2017-01-13 17:00:00,0.000000000,0.195223844,0.225677914
11298,2017-01-13 18:00:00,0.000000000,0.195236493,0.225584278
11299,2017-01-13 19:00:00,0.000000000,0.195248837,0.225492659
11300,2017-01-13 20:00:00,0.000000000,0.195260905,0.225402859
11301,2017-01-13 21:00:00,0.000000000,0.195269476,0.225338947
11302,2017-01-13 22:00:00,0.000000000,0.195277486,0.225279105
11303,2017-01-13 23:00:00,0.000000000,0.195284939,0.225223337
11304,2017-01-14 00:00:00,0.000000000,0.195291366,0.225175176
11305,2017-01-14 01:00:00,0.000000000,0.195296903,0.225133633
11306,2017-01-14 02:00:00,0.000000000,0.195302162,0.225094127
11307,2017-01-14 03:00:00,0.000000000,0.195306878,0.225058666
11308,2017-01-14 04:00:00,0.000000000,0.195311435,0.225024359
11309,2017-01-14 05:00:00,0.000000000,0.195315572,0.224993197
11310,2017-01-14 06:00:00,0.000000000,0.195315572,0.224993197
11311,2017-01-14 07:00:00,0.000000000,0.195315572,0.224993197
11312,2017-01-14 08:00:00,0.000000000,0.195315572,0.224993197
11313,2017-01-14 09:00:00,0.000000000,0.195315572,0.224993197
11314,2017-01-14 10:00:00,0.000000000,0.195315572,0.224993197
11315,2017-01-14 11:00:00,0.000000000,0.195315572,0.224993197
11316,2017-01-14 12:00:00,0.000000000,0.195315572,0.224993197
11317,2017-01-14 13:00:00,0.000000000,0.195315572,0.224993197
11318,2017-01-14 14:00:00,0.000000000,0.195315572,0.224993197
11319,2017-01-14 15:00:00,0.000000000,0.195315572,0.224993197
11320,2017-01-14 16:00:00,0.000000000,0.195315572,0.224993197
11321,2017-01-14 17:00:00,0.000000000,0.195315572,0.224993197
11322,2017-01-14 18:00:00,0.000000000,0.195315572,0.224993197
11323,2017-01-14 19:00:00,0.000000000,0.195315572,0.224993197
11324,2017-01-14 20:00:00,0.000000000,0.195315572,0.224993197
11325,2017-01-14 21:00:00,0.000000000,0.195315572,0.224993197
11326,2017-01-14 22:00:00,0.000000000,0.195315572,0.224993197
11327,2017-01-14 23:00:00,0.000000000,0.195315572,0.224993197
11328,2017-01-15 00:00:00,0.002860631,0.195315572,0.224993197
11329,2017-01-15 01:00:00,0.011014259,0.195315572,0.224993197
11330,2017-01-15 02:00:00,0.261788905,0.195315572,0.224993197
11331,2017-01-15 03:00:00,0.314714462,0.195315572,0.224993197
11332,2017-01-15 04:00:00,0.379230440,0.195315572,0.224993197
11333,2017-01-15 05:00:00,0.383477807,0.195315572,0.224993197
11334,2017-01-15 06:00:00,0.387515813,0.195315572,0.224993197
11335,2017-01-15 07:00:00,0.382464468,0.195315572,0.224993197
11336,2017-01-15 08:00:00,0.380418569,0.195315572,0.224993197
11337,2017-01-15 09:00:00,0.383066833,0.195315572,0.224993197
11338,2017-01-15 10:00:00,0.383442134,0.195315572,0.224993197
11339,2017-01-15 11:00:00,0.384587556,0.195315572,0.224993197
11340,2017-01-15 12:00:00,0.382199228,0.195315572,0.224993197
11341,2017-01-15 13:00:00,0.376349092,0.195315572,0.224993197
11342,2017-01-15 14:00:00,0.353850096,0.195315572,0.224993197
11343,2017-01-15 15:00:00,0.063304521,0.195315572,0.224993197
11344,2017-01-15 16:00:00,0.027082119,0.195302112,0.225094502
11345,2017-01-15 17:00:00,0.014786673,0.195298687,0.225120233
11346,2017-01-15 18:00:00,0.008649760,0.195297221,0.225131241
11347,2017-01-15 19:00:00,0.003533146,0.195300486,0.225106721
11348,2017-01-15 20:00:00,0.001465775,0.195305400,0.225069778
11349,2017-01-15 21:00:00,0.000163050,0.195307352,0.225055097
11350,2017-01-15 22:00:00,0.000095711,0.195308483,0.225046590
11351,2017-01-15 23:00:00,0.000067732,0.195308483,0.225046590
