gage,gagedFlowline,NHDWaterbodyComID,lakeLink,SiteName,RFC
DWRI1,23630892,23634782,23630892,Dworshak Reservoir near Ahsahka,NWRFC
OWYO3,24540979,120052938,24540985,Owyhee Dam at Owyhee River,NWRFC
SKBW1,24285508,24286248,24285520,NF SKOKOMISH R NR LWR CUSHMAN DAM NR POTLATCH WA,NWRFC
MAKI1,23238444,23246628,23239256,BIG LOST RIVER BL MACKAY RES NR MACKAY ID,NWRFC
UNYO3,24200221,24204827,24200223,Burnt River below Unity Reservoir,NWRFC
HCRO3,23751946,23756364,23751946,Hills Creek near Oakridge,NWRFC
HCDI1,24219835,24197070,24192562,Snake River at Hells Canyon,NWRFC
KEEW1,24126167,24136769,24126169,Yakima River at Keechelus Outflow,NWRFC
NOXM8,22976068,22983840,22976094,NOXM8,NWRFC
RIMW1,24423299,24428693,24423307,TIETON  AT TIETON DAM,NWRFC
WARO3,23413305,23422747,23413307,Malheur River below Warm Springs Reservoir,NWRFC
FRNO3,23763139,23769069,23763141,Long Tom River below Fern Ridge Reservoir,NWRFC
HMAC2,1321058,1320604,1321114,HOMESTAKE RESERVOIR NEAR RED CLIFF 10SW HOMRESCO HOMOUTCO,CBRFC
CLFA3,20733845,3528295,3528925,Colorado River at Lees Ferry Glen Canyon Dam,CBRFC
ARCN5,17040461,120053831,17040459,San Juan River near Archuleta probably Navajo dam,CBRFC
WBWU1,10093214,10091800,10093168,WEBER RIVER NEAR WANSHIP UT,CBRFC
ELCC2,1352642,1351760,1353072,Elkhead Ck Elkhead Reservoir,CBRFC
RUDC2,1326889,1326659,1327495,FRYINGPAN RIVER NEAR RUEDI CO,CBRFC
LLDP1,3773975,3773141,3773977,CHEAT RIVER AT LAKE LYNN DAM tailwater gage,OHRFC
