Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m
142,2015-10-06 22:00:00,0.000000000,0.759319455,0.086139269
143,2015-10-06 23:00:00,0.000000000,0.759319455,0.086139269
144,2015-10-07 00:00:00,0.000000000,0.759319455,0.086139269
145,2015-10-07 01:00:00,0.000000000,0.759319455,0.086139269
146,2015-10-07 02:00:00,0.000000000,0.759319455,0.086139269
147,2015-10-07 03:00:00,0.000000000,0.759319455,0.086139269
148,2015-10-07 04:00:00,0.000000000,0.759319455,0.086139269
149,2015-10-07 05:00:00,0.000000000,0.759319455,0.086139269
150,2015-10-07 06:00:00,0.000000000,0.759319455,0.086139269
151,2015-10-07 07:00:00,0.000000000,0.759319455,0.086139269
152,2015-10-07 08:00:00,0.000000000,0.759319455,0.086139269
153,2015-10-07 09:00:00,0.000000000,0.759319455,0.086139269
154,2015-10-07 10:00:00,0.000000000,0.759319455,0.086139269
155,2015-10-07 11:00:00,0.000000000,0.759319455,0.086139269
156,2015-10-07 12:00:00,0.000000000,0.759319455,0.086139269
157,2015-10-07 13:00:00,0.000000000,0.759319455,0.086139269
158,2015-10-07 14:00:00,0.000000000,0.759319455,0.086139269
159,2015-10-07 15:00:00,0.000000000,0.759319455,0.086139269
160,2015-10-07 16:00:00,0.000000000,0.759319455,0.086139269
161,2015-10-07 17:00:00,0.000000000,0.759319455,0.086139269
162,2015-10-07 18:00:00,0.000000000,0.759319455,0.086139269
163,2015-10-07 19:00:00,0.000000000,0.759319455,0.086139269
164,2015-10-07 20:00:00,0.000000000,0.759319455,0.086139269
165,2015-10-07 21:00:00,0.000000000,0.759319455,0.086139269
166,2015-10-07 22:00:00,0.000000000,0.759319455,0.086139269
167,2015-10-07 23:00:00,0.000000000,0.759319455,0.086139269
168,2015-10-08 00:00:00,0.000000000,0.759319455,0.086139269
169,2015-10-08 01:00:00,0.000000000,0.759319455,0.086139269
170,2015-10-08 02:00:00,0.000000000,0.759319455,0.086139269
171,2015-10-08 03:00:00,0.000000000,0.759319455,0.086139269
172,2015-10-08 04:00:00,0.000000000,0.759319455,0.086139269
173,2015-10-08 05:00:00,0.000000000,0.759319455,0.086139269
174,2015-10-08 06:00:00,0.000000000,0.759319455,0.086139269
175,2015-10-08 07:00:00,0.000000000,0.759319455,0.086139269
176,2015-10-08 08:00:00,0.000000000,0.759319455,0.086139269
177,2015-10-08 09:00:00,0.000000000,0.759319455,0.086139269
178,2015-10-08 10:00:00,0.000000000,0.759319455,0.086139269
179,2015-10-08 11:00:00,0.000000000,0.759319455,0.086139269
180,2015-10-08 12:00:00,0.000000000,0.759319455,0.086139269
181,2015-10-08 13:00:00,0.000000000,0.759319455,0.086139269
182,2015-10-08 14:00:00,0.000000000,0.759319455,0.086139269
183,2015-10-08 15:00:00,0.000000000,0.759319455,0.086139269
184,2015-10-08 16:00:00,0.000000000,0.759319455,0.086139269
185,2015-10-08 17:00:00,0.000000000,0.759319455,0.086139269
186,2015-10-08 18:00:00,0.000000000,0.759319455,0.086139269
187,2015-10-08 19:00:00,0.000000000,0.759319455,0.086139269
188,2015-10-08 20:00:00,0.000000000,0.759319455,0.086139269
189,2015-10-08 21:00:00,0.000000000,0.759319455,0.086139269
190,2015-10-08 22:00:00,0.000000000,0.759319455,0.086139269
191,2015-10-08 23:00:00,0.000000000,0.759319455,0.086139269
192,2015-10-09 00:00:00,0.000000000,0.759319455,0.086139269
193,2015-10-09 01:00:00,0.000000000,0.759319455,0.086139269
194,2015-10-09 02:00:00,0.000000000,0.759319455,0.086139269
195,2015-10-09 03:00:00,0.000000000,0.759319455,0.086139269
196,2015-10-09 04:00:00,0.000000000,0.759319455,0.086139269
197,2015-10-09 05:00:00,0.000000000,0.759319455,0.086139269
198,2015-10-09 06:00:00,0.000000000,0.759319455,0.086139269
199,2015-10-09 07:00:00,0.000000000,0.759319455,0.086139269
200,2015-10-09 08:00:00,0.000000000,0.759319455,0.086139269
201,2015-10-09 09:00:00,0.000000000,0.759319455,0.086139269
202,2015-10-09 10:00:00,0.000000000,0.759319455,0.086139269
203,2015-10-09 11:00:00,0.000000000,0.759319455,0.086139269
204,2015-10-09 12:00:00,0.000000000,0.759319455,0.086139269
205,2015-10-09 13:00:00,0.000000000,0.759319455,0.086139269
206,2015-10-09 14:00:00,0.000000000,0.759319455,0.086139269
207,2015-10-09 15:00:00,0.000000000,0.759319455,0.086139269
208,2015-10-09 16:00:00,0.000000000,0.759319455,0.086139269
209,2015-10-09 17:00:00,0.000000000,0.759319455,0.086139269
210,2015-10-09 18:00:00,0.000000000,0.759319455,0.086139269
211,2015-10-09 19:00:00,0.000000000,0.759319455,0.086139269
212,2015-10-09 20:00:00,0.000000000,0.759319455,0.086139269
213,2015-10-09 21:00:00,0.000000000,0.759319455,0.086139269
214,2015-10-09 22:00:00,0.000000000,0.750045539,0.086240325
215,2015-10-09 23:00:00,0.000000000,0.722380745,0.086560295
216,2015-10-10 00:00:00,0.000000000,0.681917791,0.087085159
217,2015-10-10 01:00:00,0.000000000,0.676960132,0.087154728
218,2015-10-10 02:00:00,0.000000000,0.676960132,0.087154728
219,2015-10-10 03:00:00,0.000000000,0.676960132,0.087154728
220,2015-10-10 04:00:00,0.000000000,0.676960132,0.087154728
221,2015-10-10 05:00:00,0.000000000,0.676960132,0.087154728
222,2015-10-10 06:00:00,0.000000000,0.676960132,0.087154728
223,2015-10-10 07:00:00,0.000000000,0.676960132,0.087154728
224,2015-10-10 08:00:00,0.000000000,0.676960132,0.087154728
225,2015-10-10 09:00:00,0.000000000,0.676960132,0.087154728
226,2015-10-10 10:00:00,0.000000000,0.676960132,0.087154728
227,2015-10-10 11:00:00,0.000000000,0.676960132,0.087154728
228,2015-10-10 12:00:00,0.000000000,0.676960132,0.087154728
229,2015-10-10 13:00:00,0.000000000,0.676960132,0.087154728
230,2015-10-10 14:00:00,0.000000000,0.676960132,0.087154728
231,2015-10-10 15:00:00,0.000000000,0.676960132,0.087154728
232,2015-10-10 16:00:00,0.000000000,0.676960132,0.087154728
233,2015-10-10 17:00:00,0.000000000,0.676960132,0.087154728
234,2015-10-10 18:00:00,0.000000000,0.676960132,0.087154728
235,2015-10-10 19:00:00,0.000000000,0.676960132,0.087154728
236,2015-10-10 20:00:00,0.000000000,0.676960132,0.087154728
237,2015-10-10 21:00:00,0.000000000,0.676960132,0.087154728
238,2015-10-10 22:00:00,0.000000000,0.676960132,0.087154728
239,2015-10-10 23:00:00,0.000000000,0.676960132,0.087154728
240,2015-10-11 00:00:00,0.000000000,0.676960132,0.087154728
241,2015-10-11 01:00:00,0.000000000,0.676960132,0.087154728
242,2015-10-11 02:00:00,0.000000000,0.676960132,0.087154728
243,2015-10-11 03:00:00,0.000000000,0.676960132,0.087154728
244,2015-10-11 04:00:00,0.000000000,0.676960132,0.087154728
245,2015-10-11 05:00:00,0.000000000,0.676960132,0.087154728
246,2015-10-11 06:00:00,0.000000000,0.676960132,0.087154728
247,2015-10-11 07:00:00,0.000000000,0.676960132,0.087154728
248,2015-10-11 08:00:00,0.000000000,0.676960132,0.087154728
249,2015-10-11 09:00:00,0.000000000,0.676960132,0.087154728
250,2015-10-11 10:00:00,0.000000000,0.676960132,0.087154728
251,2015-10-11 11:00:00,0.000000000,0.676960132,0.087154728
252,2015-10-11 12:00:00,0.000000000,0.676960132,0.087154728
253,2015-10-11 13:00:00,0.000000000,0.676960132,0.087154728
254,2015-10-11 14:00:00,0.000000000,0.676960132,0.087154728
255,2015-10-11 15:00:00,0.000000000,0.676960132,0.087154728
256,2015-10-11 16:00:00,0.000000000,0.676960132,0.087154728
257,2015-10-11 17:00:00,0.000000000,0.676960132,0.087154728
258,2015-10-11 18:00:00,0.000000000,0.676960132,0.087154728
259,2015-10-11 19:00:00,0.000000000,0.676960132,0.087154728
260,2015-10-11 20:00:00,0.000000000,0.676960132,0.087154728
261,2015-10-11 21:00:00,0.000000000,0.676960132,0.087154728
262,2015-10-11 22:00:00,0.000000000,0.676960132,0.087154728
263,2015-10-11 23:00:00,0.000000000,0.676960132,0.087154728
264,2015-10-12 00:00:00,0.000000000,0.676960132,0.087154728
265,2015-10-12 01:00:00,0.000000000,0.676960132,0.087154728
266,2015-10-12 02:00:00,0.000000000,0.676960132,0.087154728
267,2015-10-12 03:00:00,0.000000000,0.676960132,0.087154728
268,2015-10-12 04:00:00,0.000000000,0.676960132,0.087154728
269,2015-10-12 05:00:00,0.000000000,0.676960132,0.087154728
270,2015-10-12 06:00:00,0.000000000,0.676960132,0.087154728
271,2015-10-12 07:00:00,0.000000000,0.676960132,0.087154728
272,2015-10-12 08:00:00,0.000000000,0.676960132,0.087154728
273,2015-10-12 09:00:00,0.000000000,0.676960132,0.087154728
274,2015-10-12 10:00:00,0.000000000,0.676960132,0.087154728
275,2015-10-12 11:00:00,0.000000000,0.676960132,0.087154728
276,2015-10-12 12:00:00,0.000000000,0.676960132,0.087154728
277,2015-10-12 13:00:00,0.000000000,0.676960132,0.087154728
278,2015-10-12 14:00:00,0.000000000,0.676960132,0.087154728
279,2015-10-12 15:00:00,0.000000000,0.676960132,0.087154728
280,2015-10-12 16:00:00,0.000000000,0.676960132,0.087154728
281,2015-10-12 17:00:00,0.000000000,0.676960132,0.087154728
282,2015-10-12 18:00:00,0.000000000,0.676960132,0.087154728
283,2015-10-12 19:00:00,0.000000000,0.676960132,0.087154728
284,2015-10-12 20:00:00,0.000000000,0.676960132,0.087154728
285,2015-10-12 21:00:00,0.000000000,0.676960132,0.087154728
286,2015-10-12 22:00:00,0.000000000,0.676960132,0.087154728
287,2015-10-12 23:00:00,0.000000000,0.676960132,0.087154728
288,2015-10-13 00:00:00,0.000000000,0.676960132,0.087154728
289,2015-10-13 01:00:00,0.000000000,0.676960132,0.087154728
290,2015-10-13 02:00:00,0.000000000,0.676960132,0.087154728
291,2015-10-13 03:00:00,0.000000000,0.676960132,0.087154728
292,2015-10-13 04:00:00,0.000000000,0.676960132,0.087154728
293,2015-10-13 05:00:00,0.000000000,0.676960132,0.087154728
294,2015-10-13 06:00:00,0.000000000,0.676960132,0.087154728
295,2015-10-13 07:00:00,0.000000000,0.676960132,0.087154728
296,2015-10-13 08:00:00,0.000000000,0.676960132,0.087154728
297,2015-10-13 09:00:00,0.000000000,0.676960132,0.087154728
298,2015-10-13 10:00:00,0.000000000,0.676960132,0.087154728
299,2015-10-13 11:00:00,0.000000000,0.676960132,0.087154728
300,2015-10-13 12:00:00,0.000000000,0.676960132,0.087154728
301,2015-10-13 13:00:00,0.000000000,0.676960132,0.087154728
302,2015-10-13 14:00:00,0.000000000,0.676813550,0.087156804
303,2015-10-13 15:00:00,0.000000000,0.674915010,0.087183790
304,2015-10-13 16:00:00,0.000000000,0.674915010,0.087183790
305,2015-10-13 17:00:00,0.000000000,0.674915010,0.087183790
306,2015-10-13 18:00:00,0.000000000,0.674915010,0.087183790
307,2015-10-13 19:00:00,0.000000000,0.674915010,0.087183790
308,2015-10-13 20:00:00,0.000000000,0.674915010,0.087183790
309,2015-10-13 21:00:00,0.000000000,0.674915010,0.087183790
310,2015-10-13 22:00:00,0.000000000,0.674915010,0.087183790
311,2015-10-13 23:00:00,0.000000000,0.674915010,0.087183790
312,2015-10-14 00:00:00,0.000000000,0.674915010,0.087183790
313,2015-10-14 01:00:00,0.000000000,0.674915010,0.087183790
314,2015-10-14 02:00:00,0.000000000,0.674915010,0.087183790
315,2015-10-14 03:00:00,0.000000000,0.674915010,0.087183790
316,2015-10-14 04:00:00,0.000000000,0.674915010,0.087183790
317,2015-10-14 05:00:00,0.000000000,0.674915010,0.087183790
318,2015-10-14 06:00:00,0.000000000,0.674915010,0.087183790
319,2015-10-14 07:00:00,0.000000000,0.674915010,0.087183790
320,2015-10-14 08:00:00,0.000000000,0.674915010,0.087183790
321,2015-10-14 09:00:00,0.000000000,0.674915010,0.087183790
322,2015-10-14 10:00:00,0.000000000,0.674915010,0.087183790
323,2015-10-14 11:00:00,0.000000000,0.674915010,0.087183790
324,2015-10-14 12:00:00,0.000000000,0.674915010,0.087183790
325,2015-10-14 13:00:00,0.000000000,0.674915010,0.087183790
