OBJECTID,ID,Name___Nom,Latitude,Longitude,Prov_Terr,Timezone___Fuseau_horaire,HydroID2,NEAR_FID,NEAR_DIST
66,02DD016,FRENCH RIVER AT PORTAGE DAM,46.122779999999999,-80.013610000000000,ON,UTC-05:00,41014186,14191,0.000000000068227
67,02DD017,FRENCH RIVER AT CHAUDIERE DAM,46.125830000000001,-80.019440000000003,ON,UTC-05:00,41014052,14057,0.000000001182732
68,02DD020,LITTLE FRENCH RIVER AT OKIKENDAWT ISLAND,46.123060000000002,-80.078890000000001,ON,UTC-05:00,41014136,14141,0.000000000662517
72,02DD024,WASI RIVER NEAR ASTORVILLE,46.178359999999998,-79.309970000000007,ON,UTC-05:00,41013530,13535,0.000000000045821
74,02DD026,FRENCH RIVER AT WOSELEY BAY,46.105390000000000,-80.265000000000001,ON,UTC-05:00,41014355,14360,0.000000000035305
75,02EA005,NORTH MAGNETAWAN RIVER NEAR BURK'S FALLS,45.669449999999998,-79.379170000000002,ON,UTC-05:00,41015733,15738,0.000000000276833
76,02EA010,NORTH MAGNETAWAN RIVER ABOVE PICKEREL LAKE,45.703890000000001,-79.309169999999995,ON,UTC-05:00,41015590,15595,0.000000000294416
77,02EA011,MAGNETAWAN RIVER NEAR BRITT,45.773060000000001,-80.482219999999998,ON,UTC-05:00,41015533,15538,0.000000002726230
80,02EA018,MAGNETAWAN RIVER NEAR EMSDALE,45.554720000000003,-79.287779999999998,ON,UTC-05:00,41016100,16105,0.000000001996498
83,02EA021,SHAWANAGA RIVER BELOW SHAWANAGA LAKE,45.558639999999997,-80.038060000000002,ON,UTC-05:00,41016210,16215,0.000000000883371
84,02EB004,NORTH BRANCH MUSKOKA RIVER AT PORT SYDNEY,45.212780000000002,-79.275279999999995,ON,UTC-05:00,41017106,17111,0.000000001501072
85,02EB008,SOUTH BRANCH MUSKOKA RIVER AT BAYSVILLE,45.147970000000001,-79.113500000000002,ON,UTC-05:00,41017301,17306,0.000000000120619
86,02EB011,MOON RIVER AT HIGHWAY NO. 400,45.064999999999998,-79.790279999999996,ON,UTC-05:00,41017521,17526,0.000000000008053
87,02EB012,MUSQUASH RIVER AT HIGHWAY NO. 400,45.022500000000001,-79.776949999999999,ON,UTC-05:00,41017656,17661,0.000000002533334
88,02EB013,EAST RIVER NEAR HUNTSVILLE,45.392780000000002,-79.159999999999997,ON,UTC-05:00,41016647,16652,0.000000001613079
89,02EB014,OXTONGUE RIVER NEAR DWIGHT,45.311940000000000,-78.989440000000002,ON,UTC-05:00,41016825,16830,0.000000002184490
94,02EB019,LAKE OF BAYS AT BAYSVILLE,45.148809999999997,-79.113280000000003,ON,UTC-05:00,41017301,17306,0.000000000021059
99,02EC002,BLACK RIVER NEAR WASHAGO,44.713610000000003,-79.281670000000005,ON,UTC-05:00,41018267,18272,0.000000000993320
100,02EC008,BLACK RIVER AT BALDWIN,44.260829999999999,-79.343890000000002,ON,UTC-05:00,41019808,19813,0.000000000331910
101,02EC009,HOLLAND RIVER AT HOLLAND LANDING,44.094999999999999,-79.489440000000002,ON,UTC-05:00,41020566,20571,0.000000000315272
102,02EC010,SCHOMBERG RIVER NEAR SCHOMBERG,44.012219999999999,-79.685550000000006,ON,UTC-05:00,41020959,20964,0.000000003109046
103,02EC011,BEAVER RIVER NEAR BEAVERTON,44.397080000000003,-79.070830000000001,ON,UTC-05:00,41019190,19195,0.000000000260863
104,02EC014,SEVERN RIVER ABOVE WASDELL FALLS,44.775280000000002,-79.297229999999999,ON,UTC-05:00,41018140,18145,0.000000000187255
105,02EC018,PEFFERLAW BROOK NEAR UDORA,44.267499999999998,-79.194730000000007,ON,UTC-05:00,41019746,19751,0.000000000437222
106,02EC019,BLACK RIVER NEAR VANKOUGHNET,44.992500000000000,-79.049549999999996,ON,UTC-05:00,41017672,17677,0.000000000644717
107,02EC020,HAWKESTONE CREEK AT HAWKESTONE,44.496969999999997,-79.467969999999994,ON,UTC-05:00,41018944,18949,0.000000000148490
108,02EC021,UXBRIDGE BROOK NEAR UXBRIDGE,44.137860000000003,-79.112690000000001,ON,UTC-05:00,41020298,20303,0.000000001601682
109,02EC022,HEAD RIVER NEAR SEBRIGHT,44.725610000000003,-79.070440000000005,ON,UTC-05:00,41018223,18228,0.000000003215664
110,02ED003,NOTTAWASAGA RIVER NEAR BAXTER,44.249720000000003,-79.821389999999994,ON,UTC-05:00,41019963,19968,0.000000000110689
111,02ED007,COLDWATER RIVER AT COLDWATER,44.707220000000000,-79.643889999999999,ON,UTC-05:00,41018377,18382,0.000000001207254
112,02ED013,WYE RIVER NEAR WYEVALE,44.649720000000002,-79.903890000000004,ON,UTC-05:00,41018522,18527,0.000000002030463
113,02ED014,PINE RIVER NEAR EVERETT,44.200000000000003,-79.959999999999994,ON,UTC-05:00,41020254,20259,0.000000000993424
114,02ED015,MAD RIVER BELOW AVENING,44.307499999999997,-80.071950000000001,ON,UTC-05:00,41019785,19790,0.000000000744992
115,02ED017,HOGG CREEK NEAR VICTORIA HARBOUR,44.726109999999998,-79.778890000000004,ON,UTC-05:00,41018382,18387,0.000000000187431
116,02ED024,NORTH RIVER AT THE FALLS,44.767780000000002,-79.578329999999994,ON,UTC-05:00,41018164,18169,0.000000000049554
117,02ED026,NOTTAWASAGA RIVER AT HOCKLEY,44.024720000000002,-79.969999999999999,ON,UTC-05:00,41020964,20969,0.000000000418767
118,02ED027,NOTTAWASAGA RIVER NEAR EDENVALE,44.484999999999999,-79.966110000000000,ON,UTC-05:00,41019022,19027,0.000000000835079
119,02ED029,INNISFIL CREEK NEAR ALLISTON,44.131110000000000,-79.781109999999998,ON,UTC-05:00,41020502,20507,0.000000000501380
120,02ED030,SILVER CREEK AT ORILLIA,44.647170000000003,-79.452330000000003,ON,UTC-05:00,41018524,18529,0.000000000238726
121,02ED031,PRETTY RIVER AT COLLINGWOOD,44.498750000000001,-80.199920000000006,ON,UTC-05:00,41019048,19053,0.000000000393775
122,02ED032,WILLOW CREEK NEAR MINESING,44.442500000000003,-79.799499999999995,ON,UTC-05:00,41019265,19270,0.000000000081755
