Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,rainrate
162,2015-10-07 18:00:00,0,0.149304,0.28858,0
163,2015-10-07 19:00:00,0,0.149306,0.288441,0
164,2015-10-07 20:00:00,0,0.149307,0.28833,0
165,2015-10-07 21:00:00,0,0.149308,0.288255,0
166,2015-10-07 22:00:00,0,0.149309,0.288197,0
167,2015-10-07 23:00:00,0,0.14931,0.288145,0
168,2015-10-08 00:00:00,0,0.149311,0.288099,0
169,2015-10-08 01:00:00,0,0.149311,0.28806,0
170,2015-10-08 02:00:00,0,0.149312,0.288025,0
171,2015-10-08 03:00:00,0,0.149312,0.287993,0
172,2015-10-08 04:00:00,0,0.149313,0.28796,0
173,2015-10-08 05:00:00,0,0.149313,0.28793,0
174,2015-10-08 06:00:00,0,0.149313,0.287901,0
175,2015-10-08 07:00:00,0,0.149314,0.287874,0
176,2015-10-08 08:00:00,0,0.149314,0.287847,0
177,2015-10-08 09:00:00,0,0.149315,0.28782,0
178,2015-10-08 10:00:00,0,0.149315,0.287793,0
179,2015-10-08 11:00:00,0,0.149315,0.28777,0
180,2015-10-08 12:00:00,0,0.149316,0.287749,0
181,2015-10-08 13:00:00,0,0.149316,0.287709,0
182,2015-10-08 14:00:00,0,0.149317,0.287647,0
183,2015-10-08 15:00:00,0,0.149318,0.287563,0
184,2015-10-08 16:00:00,0,0.14932,0.287455,0
185,2015-10-08 17:00:00,0,0.149321,0.287343,0
186,2015-10-08 18:00:00,0,0.149323,0.287234,0
187,2015-10-08 19:00:00,0,0.149324,0.287134,0
188,2015-10-08 20:00:00,0,0.149325,0.287051,0
189,2015-10-08 21:00:00,0,0.149326,0.286999,0
190,2015-10-08 22:00:00,0,0.149326,0.286975,0
191,2015-10-08 23:00:00,0,0.149327,0.286955,0
192,2015-10-09 00:00:00,0,0.149327,0.286939,0
193,2015-10-09 01:00:00,0,0.149327,0.286905,0
194,2015-10-09 02:00:00,0,0.149328,0.286872,0
195,2015-10-09 03:00:00,0,0.149328,0.286839,0
196,2015-10-09 04:00:00,0,0.149329,0.286807,0
197,2015-10-09 05:00:00,0,0.149329,0.286779,0
198,2015-10-09 06:00:00,0,0.14933,0.286754,0
199,2015-10-09 07:00:00,0,0.14933,0.286731,0
200,2015-10-09 08:00:00,0,0.14933,0.28671,0
201,2015-10-09 09:00:00,0,0.14933,0.286692,0
202,2015-10-09 10:00:00,0,0.149331,0.286675,0
203,2015-10-09 11:00:00,0,0.149331,0.286661,0
204,2015-10-09 12:00:00,0,0.149331,0.286646,0
205,2015-10-09 13:00:00,0,0.149331,0.286622,0
206,2015-10-09 14:00:00,0,0.149332,0.286588,0
207,2015-10-09 15:00:00,0,0.149332,0.286543,0
208,2015-10-09 16:00:00,0,0.149333,0.286474,0
209,2015-10-09 17:00:00,0,0.149334,0.286394,0
210,2015-10-09 18:00:00,0,0.149336,0.286307,0
211,2015-10-09 19:00:00,0,0.149337,0.286202,0
212,2015-10-09 20:00:00,0,0.149338,0.286114,0.000008
213,2015-10-09 21:00:00,0,0.149339,0.286075,0.000244
214,2015-10-09 22:00:00,0,0.149334,0.286462,0.001236
215,2015-10-09 23:00:00,0,0.149304,0.288552,0.000516
216,2015-10-10 00:00:00,0,0.149292,0.289425,0.000294
217,2015-10-10 01:00:00,0,0.149284,0.289925,0
218,2015-10-10 02:00:00,0,0.149285,0.289909,0
219,2015-10-10 03:00:00,0,0.149285,0.289885,0
220,2015-10-10 04:00:00,0,0.149285,0.289852,0
221,2015-10-10 05:00:00,0,0.149286,0.289815,0
222,2015-10-10 06:00:00,0,0.149287,0.289774,0
223,2015-10-10 07:00:00,0,0.149287,0.28973,0
224,2015-10-10 08:00:00,0,0.149288,0.28969,0
225,2015-10-10 09:00:00,0,0.149288,0.289653,0
226,2015-10-10 10:00:00,0,0.149289,0.289619,0
227,2015-10-10 11:00:00,0,0.149289,0.289587,0
228,2015-10-10 12:00:00,0,0.14929,0.289557,0
229,2015-10-10 13:00:00,0,0.14929,0.289506,0
230,2015-10-10 14:00:00,0,0.149292,0.289426,0
231,2015-10-10 15:00:00,0,0.149293,0.289317,0
232,2015-10-10 16:00:00,0,0.149295,0.289179,0
233,2015-10-10 17:00:00,0,0.149297,0.28903,0
234,2015-10-10 18:00:00,0,0.149299,0.288883,0
235,2015-10-10 19:00:00,0,0.149301,0.288765,0
236,2015-10-10 20:00:00,0,0.149302,0.288706,0
237,2015-10-10 21:00:00,0,0.149302,0.288692,0
238,2015-10-10 22:00:00,0,0.149303,0.288671,0
239,2015-10-10 23:00:00,0,0.149303,0.288652,0
240,2015-10-11 00:00:00,0,0.149303,0.288634,0
241,2015-10-11 01:00:00,0,0.149304,0.288599,0
242,2015-10-11 02:00:00,0,0.149304,0.288566,0
243,2015-10-11 03:00:00,0,0.149304,0.288534,0
244,2015-10-11 04:00:00,0,0.149305,0.288504,0
245,2015-10-11 05:00:00,0,0.149305,0.288476,0
246,2015-10-11 06:00:00,0,0.149306,0.288448,0
247,2015-10-11 07:00:00,0,0.149306,0.288421,0
248,2015-10-11 08:00:00,0,0.149306,0.288399,0
249,2015-10-11 09:00:00,0,0.149307,0.288378,0
250,2015-10-11 10:00:00,0,0.149307,0.288359,0
251,2015-10-11 11:00:00,0,0.149307,0.288344,0
252,2015-10-11 12:00:00,0,0.149307,0.288331,0
253,2015-10-11 13:00:00,0,0.149308,0.288297,0
254,2015-10-11 14:00:00,0,0.149309,0.288239,0
255,2015-10-11 15:00:00,0,0.14931,0.288152,0
256,2015-10-11 16:00:00,0,0.149312,0.288035,0
257,2015-10-11 17:00:00,0,0.149314,0.287894,0
258,2015-10-11 18:00:00,0,0.149316,0.28774,0
259,2015-10-11 19:00:00,0,0.149318,0.287583,0
260,2015-10-11 20:00:00,0,0.14932,0.287457,0
261,2015-10-11 21:00:00,0,0.149321,0.287364,0
262,2015-10-11 22:00:00,0,0.149322,0.287297,0
263,2015-10-11 23:00:00,0,0.149323,0.287245,0
264,2015-10-12 00:00:00,0,0.149323,0.287204,0
265,2015-10-12 01:00:00,0,0.149324,0.287175,0
266,2015-10-12 02:00:00,0,0.149324,0.287149,0
267,2015-10-12 03:00:00,0,0.149324,0.287123,0
268,2015-10-12 04:00:00,0,0.149325,0.2871,0
269,2015-10-12 05:00:00,0,0.149325,0.28708,0
270,2015-10-12 06:00:00,0,0.149325,0.287062,0
271,2015-10-12 07:00:00,0,0.149325,0.287045,0
272,2015-10-12 08:00:00,0,0.149326,0.28703,0
273,2015-10-12 09:00:00,0,0.149326,0.287016,0
274,2015-10-12 10:00:00,0,0.149326,0.287002,0
275,2015-10-12 11:00:00,0,0.149326,0.286992,0
276,2015-10-12 12:00:00,0,0.149326,0.286985,0
277,2015-10-12 13:00:00,0,0.149327,0.286956,0
278,2015-10-12 14:00:00,0,0.149327,0.286905,0
279,2015-10-12 15:00:00,0,0.149328,0.286833,0
280,2015-10-12 16:00:00,0,0.14933,0.286735,0
281,2015-10-12 17:00:00,0,0.149332,0.28661,0
