Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
69,2020-01-03 21:00:00,0.000000000,0.194745158,0.209208458,0.211436731,0.216282386,0.225809100,0.000000000
70,2020-01-03 22:00:00,0.000000000,0.194747834,0.209185205,0.211412201,0.216254883,0.225774910,0.000000000
71,2020-01-03 23:00:00,0.000000000,0.194750211,0.209164533,0.211390393,0.216230433,0.225744520,0.000000000
72,2020-01-04 00:00:00,0.000000000,0.194752312,0.209146258,0.211371115,0.216208821,0.225717659,0.000000000
73,2020-01-04 01:00:00,0.000000000,0.194754194,0.209129879,0.211353837,0.216189451,0.225693589,0.000000000
74,2020-01-04 02:00:00,0.000000000,0.194755799,0.209115904,0.211339095,0.216172926,0.225673053,0.360001846
75,2020-01-04 03:00:00,0.000000000,0.194739880,0.209254311,0.211485106,0.216336629,0.225876542,0.000000000
76,2020-01-04 04:00:00,0.000000000,0.194740965,0.209244887,0.211475163,0.216325479,0.225862678,0.000000000
77,2020-01-04 05:00:00,0.000000000,0.194741950,0.209236333,0.211466139,0.216315360,0.225850096,0.000000000
78,2020-01-04 06:00:00,0.000000000,0.194743045,0.209226822,0.211456105,0.216304109,0.225836107,0.270347866
79,2020-01-04 07:00:00,0.000000000,0.194731240,0.209329271,0.211564192,0.216425320,0.225986851,0.098184622
80,2020-01-04 08:00:00,0.000000000,0.194727382,0.209362702,0.211599466,0.216464883,0.226036071,0.000000000
81,2020-01-04 09:00:00,0.000000000,0.194728298,0.209354769,0.211591096,0.216455496,0.226024391,0.008300442
82,2020-01-04 10:00:00,0.000000000,0.194728829,0.209350161,0.211586233,0.216450041,0.226017605,0.594867464
83,2020-01-04 11:00:00,0.000000000,0.194701659,0.209585061,0.211834112,0.216728146,0.226363817,0.000000000
84,2020-01-04 12:00:00,0.000000000,0.194702460,0.209578157,0.211826826,0.216719969,0.226353631,0.000000000
